Time	statistics.connectTime (0)	statistics.connectTime (1)	statistics.connectTime (2)	PeerNetwork.retries (0)	PeerNetwork.retries (1)	PeerNetwork.retries (2)
20240528224245	1634.800000011921	6215.799999982119	0	0	1	0	ok
20240528224300	0	11484.5	6582.199999988079	0	2	1	ok
20240528224320	6459.300000011921	6084.800000011921	0	1	1	0	ok
20240528224334	0	6726.5	11270.899999976158	0	1	2	ok
20240528224354	0	6779.9000000059605	6578.800000011921	0	1	1	ok
20240528224409	11078.5	1427.5	0	2	0	0	ok
20240528224428	6660.800000011921	0	1603.6000000238419	1	0	0	ok
20240528224443	0	11084.40000000596	11196.800000011921	0	2	4	ok
20240528224503	0	6233.9000000059605	1443	0	1	0	ok
20240528224517	1615.300000011921	0	1688.5999999940395	0	0	0	ok
20240528224527	6475.0999999940395	1647	0	1	0	0	ok
20240528224541	1569.6000000238419	1484.0999999940395	0	0	0	0	ok
20240528224551	0	1614.5	6396.4000000059605	0	0	1	ok
20240528224605	0	1049.7999999821186	6440.800000011921	0	0	1	ok
20240528224620	6047.699999988079	0	1774.300000011921	1	0	0	ok
20240528224634	0	6137.9000000059605	1310	0	1	0	ok
20240528224649	6182.5999999940395	0	6223.700000017881	2	0	1	ok
20240528224704	6580.699999988079	1745.2000000178814	0	1	0	0	ok
20240528224718	0	1403.4000000059605	965.4000000059605	0	0	0	ok
20240528224728	1393.5	6209.5999999940395	0	0	1	0	ok
20240528224742	0	6491.700000017881	1015.9000000059605	0	1	0	ok
20240528224757	1509.0999999940395	1652.0999999940395	0	0	0	0	ok
20240528224806	0	1653.7999999821186	1747.5	0	0	0	ok
20240528224816	1215.5	1049.0999999940395	0	0	0	0	ok
20240528224825	1426.4000000059605	0	6518.799999982119	0	0	1	ok
20240528224840	1649.0999999940395	0	1774.800000011921	0	0	0	ok
20240528224849	1335.9000000059605	6393.5	0	0	1	0	ok
20240528224904	0	1693.9000000059605	1300.5	0	0	0	ok
20240528224913	6517.699999988079	1622.5	0	1	0	0	ok
20240528224928	0	1028.8999999761581	1729.2999999821186	0	0	0	ok
20240528224937	0	1516.4000000059605	1057.5999999940395	0	0	0	ok
20240528224947	6485.100000023842	0	1578.3999999761581	1	0	0	ok
20240528225001	1467.0999999940395	1271.1000000238419	0	0	0	0	ok
20240528225011	1088.1000000238419	1490.8999999761581	0	0	0	0	ok
20240528225020	0	11706.59999999404	971.9000000059605	0	2	0	ok
20240528225040	1511.4000000059605	0	1600.5999999940395	0	0	0	ok
20240528225049	6467.799999982119	0	1007.2999999821186	2	0	0	ok
20240528225104	0	1266	6079.5999999940395	0	0	1	ok
20240528225118	0	11454.899999976158	1330.9000000059605	0	2	0	ok
20240528225138	1253.300000011921	11392.899999976158	0	0	2	0	ok
20240528225158	1821.4000000059605	6603.100000023842	0	0	1	0	ok
